,      ,Training,, ,   ,Validation,,,  ,,Training,,   ,    ,   ,Validation,, ,    ,   ,,Training,,   ,    ,   ,Validation,, ,    ,   
,      ,ALL , ,    ,   ,ALL , ,    ,   ,,Td  ,    ,   ,    ,   ,Td  ,    ,   ,    ,   ,,RH  ,    ,   ,    ,   ,RH  ,    ,   ,    ,   
,Alpha,EVar,R,RMSE,MAE,EVar,R,RMSE,MAE,,EVar,RMSE,MAE,Mean,Std,EVar,RMSE,MAE,Mean,Std,,EVar,RMSE,MAE,Mean,Std,EVar,RMSE,MAE,Mean,Std
1,1.00E-05,57.84%,76.02%,6.23,3.96,59.14%,76.87%,6.21,3.98,,84.90%,0.96,0.68,0.06,0.96,85.89%,0.96,0.67,0.02,0.96,,30.78%,8.76,7.23,-0.22,8.76,32.40%,8.73,7.29,-0.35,8.73
2,0.0001,57.25%,75.54%,6.18,3.96,58.50%,76.30%,6.14,3.98,,82.34%,1.05,0.74,-0.13,1.04,83.00%,1.07,0.75,-0.19,1.05,,32.15%,8.68,7.18,0.31,8.67,34.00%,8.62,7.2,0.19,8.62
3,0.001,56.85%,75.17%,6.32,4.09,58.18%,76.05%,6.28,4.1,,84.24%,0.99,0.71,-0.07,0.98,85.15%,0.99,0.7,-0.13,0.98,,29.45%,8.88,7.47,0.81,8.85,31.21%,8.83,7.5,0.69,8.8
4,0.01,56.64%,74.68%,6.37,4.14,57.85%,75.66%,6.34,4.15,,84.29%,1,0.7,0.17,0.98,85.26%,0.99,0.69,0.13,0.98,,28.98%,8.95,7.58,1.18,8.87,30.44%,8.91,7.61,1.04,8.85
5,0.1,57.42%,75.75%,6.24,3.95,58.76%,76.64%,6.21,3.96,,84.09%,0.99,0.71,0.07,0.99,85.03%,0.99,0.71,0.01,0.99,,30.75%,8.76,7.18,-0.09,8.76,32.49%,8.72,7.21,-0.18,8.72
6,1,56.27%,74.41%,6.38,4.17,57.38%,75.33%,6.36,4.18,,83.87%,1.01,0.73,0.19,0.99,84.83%,1,0.72,0.15,0.99,,28.67%,8.97,7.61,1.15,8.89,29.94%,8.94,7.65,1.03,8.88
7,10,55.89%,74.35%,6.36,4.14,56.60%,74.95%,6.35,4.17,,82.61%,1.04,0.71,0.1,1.03,82.96%,1.05,0.72,0.05,1.05,,29.17%,8.93,7.56,1.08,8.86,30.24%,8.91,7.61,0.95,8.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Design:,[91, 'relu', 'adam',5000,10, 'constant', True],,,,,,,,,,,,,,,,,,,,,,,
